player,playerLabel,clubLabel,leagueLabel,start,end,caps
http://www.wikidata.org/entity/Q129109,Matthias Ginter,SC Freiburg,Bundesliga,2012-01-01T00:00:00Z,2014-01-01T00:00:00Z,70
http://www.wikidata.org/entity/Q129109,Matthias Ginter,Borussia Dortmund,Bundesliga,2014-01-01T00:00:00Z,2017-01-01T00:00:00Z,67
http://www.wikidata.org/entity/Q129109,Matthias Ginter,Borussia Mönchengladbach,Bundesliga,2017-01-01T00:00:00Z,2022-06-01T00:00:00Z,154
http://www.wikidata.org/entity/Q129109,Matthias Ginter,SC Freiburg,Bundesliga,2022-07-01T00:00:00Z,,99
http://www.wikidata.org/entity/Q129655,Dougie Freedman,Crystal Palace F.C.,Premier League,1995-01-01T00:00:00Z,1997-01-01T00:00:00Z,93
http://www.wikidata.org/entity/Q129655,Dougie Freedman,Wolverhampton Wanderers F.C.,Premier League,1997-01-01T00:00:00Z,1998-01-01T00:00:00Z,29
http://www.wikidata.org/entity/Q129655,Dougie Freedman,Nottingham Forest F.C.,Premier League,1998-01-01T00:00:00Z,2000-01-01T00:00:00Z,70
http://www.wikidata.org/entity/Q129655,Dougie Freedman,Crystal Palace F.C.,Premier League,2000-01-01T00:00:00Z,2008-01-01T00:00:00Z,237
http://www.wikidata.org/entity/Q129655,Dougie Freedman,Leeds United F.C.,Premier League,2008-01-01T00:00:00Z,2008-01-01T00:00:00Z,11
http://www.wikidata.org/entity/Q13014035,Jordan Pickford,Sunderland A.F.C.,Premier League,2011-01-01T00:00:00Z,2017-01-01T00:00:00Z,31
http://www.wikidata.org/entity/Q13014035,Jordan Pickford,Everton F.C.,Premier League,2017-01-01T00:00:00Z,,304
http://www.wikidata.org/entity/Q131234,Toni Kroos,FC Bayern Munich,Bundesliga,2007-01-01T00:00:00Z,2014-01-01T00:00:00Z,130
http://www.wikidata.org/entity/Q131234,Toni Kroos,Bayer 04 Leverkusen,Bundesliga,2009-01-01T00:00:00Z,2010-01-01T00:00:00Z,43
http://www.wikidata.org/entity/Q131234,Toni Kroos,Real Madrid Club de Fútbol,La Liga,2014-01-01T00:00:00Z,2024-01-01T00:00:00Z,306
http://www.wikidata.org/entity/Q131261,Oliver Kahn,FC Bayern Munich,Bundesliga,1994-01-01T00:00:00Z,2008-01-01T00:00:00Z,429
